type,value
GRADUADO,4.032758621
GRADUADO,4.364912281
GRADUADO,4.275438596
GRADUADO,4.184210526
GRADUADO,4.575862069
GRADUADO,4.33220339
GRADUADO,4.421052632
GRADUADO,4.624137931
GRADUADO,3.730434783
GRADUADO,4.138596491
GRADUADO,4.070689655
GRADUADO,4.315789474
GRADUADO,4.164912281
GRADUADO,4.129824561
GRADUADO,4.050877193
GRADUADO,4.029824561
GRADUADO,4.230357143
GRADUADO,4.185714286
GRADUADO,4.436842105
GRADUADO,4.279710145
GRADUADO,4.156140351
GRADUADO,4.405263158
GRADUADO,4.138596491
GRADUADO,4.065517241
GRADUADO,4.131578947
GRADUADO,4.28245614
GRADUADO,3.755172414
GRADUADO,4.028888889
GRADUADO,3.895081967
GRADUADO,4.250877193
GRADUADO,3.130882353
GRADUADO,4.060344828
GRADUADO,3.81147541
GRADUADO,3.979032258
GRADUADO,3.940350877
GRADUADO,4.063793103
GRADUADO,4.158928571
GRADUADO,4.296363636
GRADUADO,4.02826087
GRADUADO,4.098305085
GRADUADO,4.19122807
GRADUADO,4.013636364
GRADUADO,4.45862069
GRADUADO,4.448148148
GRADUADO,4.596551724
GRADUADO,4.014285714
GRADUADO,4.153571429
GRADUADO,4.163157895
GRADUADO,4.091071429
GRADUADO,4.427777778
GRADUADO,4.014545455
GRADUADO,4.238571429
GRADUADO,4.296491228
GRADUADO,4.468518519
GRADUADO,4.262962963
GRADUADO,4.236842105
GRADUADO,4.203389831
GRADUADO,4.067241379
GRADUADO,3.619354839
GRADUADO,3.988135593
GRADUADO,4.442857143
GRADUADO,4.031578947
GRADUADO,4.127272727
GRADUADO,4.622222222
GRADUADO,4.458181818
GRADUADO,4.231578947
GRADUADO,3.89516129
GRADUADO,4.264912281
GRADUADO,3.6328125
GRADUADO,4.262962963
GRADUADO,4.30877193
GRADUADO,4.170175439
GRADUADO,4.268965517
GRADUADO,4.2375
GRADUADO,3.771830986
GRADUADO,4.223943662
GRADUADO,4.150724638
GRADUADO,3.758108108
GRADUADO,4.065217391
GRADUADO,3.910526316
GRADUADO,4.269565217
GRADUADO,4.323636364
GRADUADO,4.288571429
GRADUADO,4.286206897
GRADUADO,4.51147541
GRADUADO,4.409836066
GRADUADO,4.220689655
GRADUADO,4.144262295
GRADUADO,3.91754386
GRADUADO,3.871830986
GRADUADO,3.834920635
GRADUADO,3.746031746
GRADUADO,4.268421053
GRADUADO,4.331034483
GRADUADO,4.0921875
GRADUADO,4.448275862
GRADUADO,4.367213115
GRADUADO,4.55
GRADUADO,4.056140351
GRADUADO,4.4
GRADUADO,4.080701754
GRADUADO,4.396721311
GRADUADO,3.84
GRADUADO,4.589855072
GRADUADO,4.132258065
GRADUADO,3.775
GRADUADO,4.33943662
GRADUADO,3.815068493
GRADUADO,4.101449275
GRADUADO,3.856944444
GRADUADO,4.024590164
GRADUADO,4.186440678
GRADUADO,4.355172414
GRADUADO,4.335714286
GRADUADO,4.403571429
GRADUADO,4.407142857
GRADUADO,4.314285714
GRADUADO,4.278947368
GRADUADO,4.371428571
GRADUADO,4.396721311
GRADUADO,4.329090909
GRADUADO,4.236842105
GRADUADO,4.4
GRADUADO,4.107017544
GRADUADO,4.103278689
GRADUADO,4.187931034
GRADUADO,4.305172414
GRADUADO,4.229824561
GRADUADO,4.246428571
GRADUADO,4.446428571
GRADUADO,4.179310345
GRADUADO,4.338596491
GRADUADO,4.175
GRADUADO,4.375438596
GRADUADO,4.289473684
GRADUADO,4.305263158
GRADUADO,4.481818182
GRADUADO,4.368421053
GRADUADO,4.294642857
GRADUADO,4.419642857
GRADUADO,4.259259259
GRADUADO,4.291071429
GRADUADO,4.345614035
GRADUADO,4.2875
GRADUADO,4.266666667
GRADUADO,4.226315789
GRADUADO,4.127586207
GRADUADO,4.498245614
GRADUADO,4.330357143
GRADUADO,4.507017544
GRADUADO,4.1
GRADUADO,4.366666667
GRADUADO,4.006779661
GRADUADO,4.189473684
GRADUADO,4.383018868
GRADUADO,4.243859649
GRADUADO,4.401754386
GRADUADO,4.389473684
GRADUADO,4.42
GRADUADO,4.30483871
GRADUADO,4.415789474
GRADUADO,4.401754386
GRADUADO,4.512280702
GRADUADO,4.360714286
GRADUADO,4.253571429
GRADUADO,4.329824561
GRADUADO,4.396
GRADUADO,4.305263158
GRADUADO,4.445283019
GRADUADO,4.170689655
GRADUADO,4.333928571
GRADUADO,4.303571429
GRADUADO,4.415789474
GRADUADO,4.214035088
GRADUADO,4.191071429
GRADUADO,4.284210526
GRADUADO,4.310714286
GRADUADO,4.382142857
GRADUADO,4.041666667
GRADUADO,4.401785714
GRADUADO,4.3875
GRADUADO,4.241071429
GRADUADO,4.494736842
GRADUADO,4.347368421
GRADUADO,4.20877193
GRADUADO,4.350877193
GRADUADO,4.106666667
GRADUADO,4.441071429
GRADUADO,4.467241379
GRADUADO,4.521052632
GRADUADO,4.244444444
GRADUADO,4.068333333
GRADUADO,4.262068966
GRADUADO,4.140350877
GRADUADO,4.368421053
GRADUADO,4.294545455
GRADUADO,4.2125
GRADUADO,4.158333333
GRADUADO,4.319298246
GRADUADO,4.301818182
GRADUADO,4.329310345
GRADUADO,4.129824561
GRADUADO,4.383928571
GRADUADO,4.423636364
GRADUADO,4.201785714
GRADUADO,4.349090909
GRADUADO,4.010344828
GRADUADO,3.8328125
GRADUADO,4.314545455
GRADUADO,4.122033898
GRADUADO,4.106896552
GRADUADO,3.953968254
GRADUADO,4.290566038
GRADUADO,4.204918033
GRADUADO,3.993220339
GRADUADO,4.291071429
GRADUADO,4.326315789
GRADUADO,4.135483871
GRADUADO,3.815
GRADUADO,4.247368421
GRADUADO,4.306896552
GRADUADO,4.160344828
GRADUADO,3.910714286
GRADUADO,3.976785714
GRADUADO,3.849122807
GRADUADO,4.423636364
GRADUADO,4.347272727
GRADUADO,4.107142857
GRADUADO,3.692982456
GRADUADO,4.203636364
GRADUADO,3.966071429
GRADUADO,4.332727273
GRADUADO,3.859016393
GRADUADO,4.188679245
GRADUADO,4.54
GRADUADO,4.213157895
GRADUADO,4.087272727
GRADUADO,4.129032258
GRADUADO,4.385454545
GRADUADO,3.894736842
GRADUADO,4.073214286
GRADUADO,4.232727273
GRADUADO,4.564285714
GRADUADO,4.332727273
GRADUADO,4.236363636
GRADUADO,4.290740741
GRADUADO,4.020967742
GRADUADO,3.975806452
GRADUADO,3.896428571
GRADUADO,4.005454545
GRADUADO,4.011666667
GRADUADO,4.282142857
GRADUADO,4.185454545
GRADUADO,4.073684211
GRADUADO,4.207407407
GRADUADO,4.344642857
GRADUADO,4.151612903
GRADUADO,4.162264151
GRADUADO,4.294736842
GRADUADO,4.645
GRADUADO,4.407272727
GRADUADO,4.032786885
GRADUADO,4.07
GRADUADO,3.869491525
GRADUADO,4.107272727
GRADUADO,4.016
GRADUADO,4.091803279
GRADUADO,4.171186441
GRADUADO,4.324561404
GRADUADO,4.136842105
GRADUADO,4.094545455
GRADUADO,4.446153846
GRADUADO,4.380769231
GRADUADO,4.482692308
GRADUADO,4.202040816
GRADUADO,4.196153846
GRADUADO,4.213461538
GRADUADO,3.904166667
GRADUADO,4.317307692
GRADUADO,4.242592593
GRADUADO,4.326415094
GRADUADO,4.179245283
GRADUADO,3.828571429
GRADUADO,4.316071429
GRADUADO,4.011111111
GRADUADO,4.158490566
GRADUADO,4.063636364
GRADUADO,4.009090909
GRADUADO,3.942592593
GRADUADO,3.975
GRADUADO,4.355769231
GRADUADO,3.895555556
GRADUADO,4.503571429
GRADUADO,4.490909091
GRADUADO,4.446987952
GRADUADO,3.976363636
GRADUADO,3.919642857
GRADUADO,3.831343284
GRADUADO,4.1875
GRADUADO,4.48490566
GRADUADO,3.65625
GRADUADO,4.054385965
GRADUADO,3.930357143
GRADUADO,4.228571429
GRADUADO,3.983928571
GRADUADO,4.271929825
GRADUADO,3.877586207
GRADUADO,4.517857143
GRADUADO,4.198305085
GRADUADO,4.612280702
GRADUADO,3.344444444
GRADUADO,3.719354839
GRADUADO,4.038181818
GRADUADO,4.042622951
GRADUADO,3.695384615
GRADUADO,4.532075472
GRADUADO,4.573584906
GRADUADO,3.983050847
GRADUADO,4.368421053
GRADUADO,4.054098361
GRADUADO,4.413207547
GRADUADO,4.321568627
GRADUADO,4.553333333
GRADUADO,4.394339623
GRADUADO,4.378571429
GRADUADO,4.658928571
GRADUADO,4.442424242
GRADUADO,4.503773585
GRADUADO,4.56969697
GRADUADO,4.583098592
GRADUADO,4.285964912
GRADUADO,4.047761194
GRADUADO,3.791803279
GRADUADO,3.586567164
GRADUADO,4.056451613
GRADUADO,4.406896552
GRADUADO,4.06969697
GRADUADO,3.935087719
GRADUADO,4.314754098
GRADUADO,4.387272727
GRADUADO,4.308928571
GRADUADO,4.092424242
GRADUADO,3.884507042
GRADUADO,3.945588235
GRADUADO,4.212121212
GRADUADO,3.37195122
GRADUADO,4.556603774
GRADUADO,4.1
GRADUADO,4.70754717
GRADUADO,3.942105263
GRADUADO,4.212068966
