type,value
GRADUADO,0.8052173913043459
GRADUADO,0.9059999999999979
GRADUADO,0.822424242424242
GRADUADO,0.8631249999999999
GRADUADO,0.8264705882352941
GRADUADO,0.8875
GRADUADO,0.900625
GRADUADO,0.869375
GRADUADO,0.86625
GRADUADO,0.923125
GRADUADO,0.89375
GRADUADO,0.8868750000000001
GRADUADO,0.867532467532466
GRADUADO,0.836363636363636
GRADUADO,0.8525
GRADUADO,0.9193749999999999
GRADUADO,0.840625
GRADUADO,0.849375
GRADUADO,0.8699999999999999
GRADUADO,0.9375
GRADUADO,0.8412499999999999
GRADUADO,0.852499999999998
GRADUADO,0.881875
GRADUADO,0.9037499999999999
GRADUADO,0.773142857142856
GRADUADO,0.848730158730158
GRADUADO,0.786666666666666
GRADUADO,0.7456
GRADUADO,0.842857142857142
GRADUADO,0.8556249999999981
GRADUADO,0.9285714285714279
GRADUADO,0.845
GRADUADO,0.87375
GRADUADO,0.905625
GRADUADO,0.897560975609756
GRADUADO,0.838333333333332
GRADUADO,0.8525
GRADUADO,0.8481081081081079
GRADUADO,0.784444444444444
GRADUADO,0.849
GRADUADO,0.83611111111111
GRADUADO,0.887222222222222
GRADUADO,0.867777777777776
GRADUADO,0.7781818181818181
GRADUADO,0.852631578947368
GRADUADO,0.9036363636363619
GRADUADO,0.8829629629629621
GRADUADO,0.799459459459458
GRADUADO,0.905
GRADUADO,0.8816666666666659
GRADUADO,0.8927777777777759
GRADUADO,0.823333333333332
GRADUADO,0.815416666666666
GRADUADO,0.90611111111111
GRADUADO,0.8320000000000001
GRADUADO,0.873684210526314
GRADUADO,0.8756097560975601
GRADUADO,0.8710000000000001
GRADUADO,0.828837209302324
GRADUADO,0.794545454545454
GRADUADO,0.757619047619046
GRADUADO,0.8320930232558119
GRADUADO,0.748888888888888
GRADUADO,0.763043478260868
GRADUADO,0.8789999999999999
GRADUADO,0.848181818181818
GRADUADO,0.808
GRADUADO,0.909
GRADUADO,0.8463414634146339
GRADUADO,0.78782608695652
GRADUADO,0.869
GRADUADO,0.925999999999998
GRADUADO,0.889090909090908
GRADUADO,0.845499999999998
GRADUADO,0.8641860465116279
GRADUADO,0.9124999999999981
GRADUADO,0.74255319148936
GRADUADO,0.8985
GRADUADO,0.822272727272726
GRADUADO,0.8494999999999999
GRADUADO,0.8400000000000001
GRADUADO,0.844
GRADUADO,0.811904761904762
GRADUADO,0.859
GRADUADO,0.913
GRADUADO,0.8419999999999981
GRADUADO,0.8054545454545441
GRADUADO,0.828837209302324
GRADUADO,0.77047619047619
GRADUADO,0.9219999999999979
GRADUADO,0.925
GRADUADO,0.7367346938775501
GRADUADO,0.775714285714284
GRADUADO,0.8859090909090901
GRADUADO,0.8004651162790679
GRADUADO,0.80782608695652
GRADUADO,0.8965217391304339
GRADUADO,0.899444444444444
GRADUADO,0.8460000000000001
GRADUADO,0.8494999999999999
GRADUADO,0.9075
GRADUADO,0.914146341463414
GRADUADO,0.7326530612244879
GRADUADO,0.8832558139534881
GRADUADO,0.843
GRADUADO,0.8367441860465099
GRADUADO,0.8368181818181799
GRADUADO,0.851363636363636
GRADUADO,0.739183673469386
GRADUADO,0.8095652173913039
GRADUADO,0.801224489795918
GRADUADO,0.855555555555554
GRADUADO,0.864827586206896
GRADUADO,0.8445
GRADUADO,0.850454545454544
GRADUADO,0.8455
GRADUADO,0.8874999999999981
GRADUADO,0.847499999999998
GRADUADO,0.8009756097560959
GRADUADO,0.844499999999998
GRADUADO,0.8009999999999999
GRADUADO,0.805
GRADUADO,0.8752631578947361
GRADUADO,0.9043137254901961
GRADUADO,0.869090909090908
GRADUADO,0.8885714285714281
GRADUADO,0.8625925925925919
GRADUADO,0.87551724137931
GRADUADO,0.8768421052631579
GRADUADO,0.8300000000000001
GRADUADO,0.763389830508474
